part_id,group_id,member_id,conf_cond,comm_cond,itemnum,grouping,resp,resp_rt,conf,conf_rt,correct_resp,resp_acc,item_mean,consensus,sex,education,eng_fl,age,trait_acc,trait_conf,eat_acc,eat_conf,rapm_acc,rapm_conf,agreeableness,conscientiousness,extraversion,intellect,neuroticism
101a,101,a,Low,Isolated,3,ind,1,13.627,90,3.616,1,TRUE,0.885714286,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,3,grp,1,1.265,91,5.635,1,TRUE,0.847619048,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,4,ind,1,6.273,100,3.341,1,TRUE,0.852380952,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,4,grp,1,0.975,100,3.108,1,TRUE,0.842857143,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,5,ind,2,5.142,100,5.243,2,TRUE,0.633333333,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,5,grp,2,1.302,99,16.768,2,TRUE,0.671428571,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,6,ind,1,12.771,98,7.143,1,TRUE,0.814285714,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,6,grp,1,1.316,99,3.598,1,TRUE,0.819047619,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,7,ind,2,10.324,99,6.193,2,TRUE,0.70952381,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,7,grp,2,4.137,98,5.219,2,TRUE,0.70952381,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,8,ind,2,18.14,90,10.426,1,FALSE,0.747619048,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,8,grp,2,1.446,95,NA,1,FALSE,0.766666667,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,9,ind,1,37.902,60,4.662,1,TRUE,0.671428571,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,9,grp,2,3.126,55,NA,1,FALSE,0.676190476,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,10,ind,2,8.094,99,3.431,2,TRUE,0.838095238,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,10,grp,2,0.745,98,2.701,2,TRUE,0.833333333,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
102a,102,a,Mixed,Isolated,1,ind,2,10.224,90,2.791,2,TRUE,0.638095238,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,1,grp,2,3.401,90,2.916,2,TRUE,0.628571429,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,2,ind,2,10.371,50,3.372,1,FALSE,0.723809524,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,2,grp,2,2.222,50,3.359,1,FALSE,0.738095238,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,3,ind,1,10.572,50,3.143,1,TRUE,0.885714286,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,3,grp,1,0.901,50,5.064,1,TRUE,0.847619048,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,4,ind,1,5.481,85,3.933,1,TRUE,0.852380952,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,4,grp,1,1.161,85,4.028,1,TRUE,0.842857143,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,5,ind,2,8.902,75,2.928,2,TRUE,0.633333333,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,5,grp,2,1.443,75,3.414,2,TRUE,0.671428571,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,6,ind,1,9.4,80,4.067,1,TRUE,0.814285714,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,6,grp,1,5.056,80,2.245,1,TRUE,0.819047619,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,7,ind,2,7.132,50,2.659,2,TRUE,0.70952381,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,7,grp,2,3.129,50,2.982,2,TRUE,0.70952381,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,8,ind,2,4.755,50,3.749,1,FALSE,0.747619048,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,8,grp,2,0.538,50,NA,1,FALSE,0.766666667,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,9,ind,2,9.297,50,2.588,1,FALSE,0.671428571,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,9,grp,1,0.578,50,NA,1,TRUE,0.676190476,disagree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,10,ind,2,11.191,50,3.269,2,TRUE,0.838095238,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102a,102,a,Mixed,Isolated,10,grp,2,1.901,50,3.026,2,TRUE,0.833333333,agree,0,1,1,21,79.16666667,54.60833333,85,67.75,73.33333333,41.46666667,5,4,4.25,2.5,4.75
102b,102,b,Mixed,Isolated,1,ind,2,17.928,50,6.448,2,TRUE,0.638095238,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,1,grp,2,1.532,50,6.556,2,TRUE,0.628571429,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,2,ind,1,5.015,100,4.607,1,TRUE,0.723809524,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,2,grp,1,1.732,100,5.806,1,TRUE,0.738095238,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,3,ind,1,9.569,60,7.993,1,TRUE,0.885714286,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,3,grp,1,1.2,60,12.04,1,TRUE,0.847619048,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,4,ind,1,7.346,100,3.109,1,TRUE,0.852380952,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,4,grp,1,1.636,100,6.475,1,TRUE,0.842857143,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,5,ind,1,21.559,90,3.315,2,FALSE,0.633333333,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,5,grp,1,1.831,90,2.401,2,FALSE,0.671428571,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,6,ind,1,6.023,100,2.336,1,TRUE,0.814285714,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,6,grp,1,3.623,100,4.193,1,TRUE,0.819047619,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,7,ind,2,9.463,100,5.599,2,TRUE,0.70952381,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,7,grp,2,2.963,100,4.042,2,TRUE,0.70952381,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,8,ind,2,4.603,100,5.931,1,FALSE,0.747619048,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,8,grp,1,2.167,50,NA,1,TRUE,0.766666667,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,9,ind,2,13.221,80,3.587,1,FALSE,0.671428571,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,9,grp,2,2.786,80,NA,1,FALSE,0.676190476,disagree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,10,ind,2,9.901,80,4.764,2,TRUE,0.838095238,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
102b,102,b,Mixed,Isolated,10,grp,2,1,80,1.972,2,TRUE,0.833333333,agree,0,1,0,20,40.83333333,86.44166667,55,88.75,26.66666667,84.13333333,3,3.75,4.25,4,3.5
103a,103,a,Mixed,Isolated,1,ind,1,6.93,70,4.457,2,FALSE,0.638095238,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,1,grp,1,3.057,60,5.265,2,FALSE,0.628571429,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,2,ind,1,4.219,80,3.172,1,TRUE,0.723809524,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,2,grp,1,1.252,80,2.785,1,TRUE,0.738095238,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,3,ind,1,6.918,60,4.393,1,TRUE,0.885714286,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,3,grp,1,2.847,60,2.73,1,TRUE,0.847619048,disagree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,4,ind,1,6.766,80,4.949,1,TRUE,0.852380952,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,4,grp,1,1.6,80,2.151,1,TRUE,0.842857143,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,5,ind,1,19.884,60,2.729,2,FALSE,0.633333333,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,5,grp,1,0.867,60,3.361,2,FALSE,0.671428571,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,6,ind,2,13.034,80,2.555,1,FALSE,0.814285714,disagree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,6,grp,2,2.241,80,2.7,1,FALSE,0.819047619,disagree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,7,ind,2,6.812,60,3.117,2,TRUE,0.70952381,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,7,grp,2,1.239,70,2.941,2,TRUE,0.70952381,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,8,ind,2,4.38,80,2.684,1,FALSE,0.747619048,disagree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,8,grp,2,0.354,80,NA,1,FALSE,0.766666667,disagree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,9,ind,1,11.057,70,2.25,1,TRUE,0.671428571,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,9,grp,1,1.718,60,NA,1,TRUE,0.676190476,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,10,ind,2,8.282,90,2.819,2,TRUE,0.838095238,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103a,103,a,Mixed,Isolated,10,grp,2,1.374,90,2.605,2,TRUE,0.833333333,agree,0,1,1,18,56.66666667,61.13333333,40,57,73.33333333,65.26666667,4.5,2.25,4,3.75,3.75
103b,103,b,Mixed,Isolated,1,ind,1,6.788,80,7.466,2,FALSE,0.638095238,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,1,grp,1,2.457,70,4.611,2,FALSE,0.628571429,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,2,ind,1,11.329,50,4.978,1,TRUE,0.723809524,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,2,grp,1,1.462,50,4.431,1,TRUE,0.738095238,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,3,ind,1,11.621,55,4.765,1,TRUE,0.885714286,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,3,grp,2,7.766,50,2.349,1,FALSE,0.847619048,disagree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,4,ind,1,5.58,100,2.631,1,TRUE,0.852380952,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,4,grp,1,1.249,100,3.735,1,TRUE,0.842857143,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,5,ind,1,5.044,90,3.114,2,FALSE,0.633333333,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,5,grp,1,2.776,60,3.302,2,FALSE,0.671428571,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,6,ind,1,5.111,100,2.326,1,TRUE,0.814285714,disagree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,6,grp,1,6.313,100,4.442,1,TRUE,0.819047619,disagree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,7,ind,2,18.664,50,2.068,2,TRUE,0.70952381,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,7,grp,2,1.694,50,2.417,2,TRUE,0.70952381,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,8,ind,1,5.055,70,3.406,1,TRUE,0.747619048,disagree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,8,grp,1,0.863,65,NA,1,TRUE,0.766666667,disagree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,9,ind,1,6.08,70,3.348,1,TRUE,0.671428571,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,9,grp,1,1.043,60,NA,1,TRUE,0.676190476,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,10,ind,2,5.282,90,2.281,2,TRUE,0.838095238,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
103b,103,b,Mixed,Isolated,10,grp,2,0.6,80,2.129,2,TRUE,0.833333333,agree,0,1,1,19,87.5,99,75,98,100,100,3.75,2.75,1,3.5,2.75
104b,104,b,High,Isolated,1,ind,2,46.838,100,7.055,2,TRUE,0.638095238,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,1,grp,2,3.74,100,4.119,2,TRUE,0.628571429,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,2,ind,2,18.466,50,3.537,1,FALSE,0.723809524,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,2,grp,1,8.833,50,4.04,1,TRUE,0.738095238,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,3,ind,2,21.243,50,2.283,1,FALSE,0.885714286,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,3,grp,2,1.653,50,6.71,1,FALSE,0.847619048,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,4,ind,2,16.763,50,2.221,1,FALSE,0.852380952,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,4,grp,2,3.722,50,2.061,1,FALSE,0.842857143,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,5,ind,1,10.413,100,2.899,2,FALSE,0.633333333,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,5,grp,1,2.389,100,1.814,2,FALSE,0.671428571,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,6,ind,1,12.532,50,2.049,1,TRUE,0.814285714,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,6,grp,1,4.761,50,1.883,1,TRUE,0.819047619,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,7,ind,2,12.845,50,2.367,2,TRUE,0.70952381,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,7,grp,2,1.523,50,3.412,2,TRUE,0.70952381,agree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,8,ind,2,16.7,50,2.447,1,FALSE,0.747619048,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
104b,104,b,High,Isolated,8,grp,2,0.444,50,NA,1,FALSE,0.766666667,disagree,0,1,0,19,78.33333333,78.91666667,70,72.5,86.66666667,85.33333333,4,3.75,2.75,3.5,3.25
